Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
44,0,-82.330315,152.860168,0.489920,-30.006521,78.218666,55.165710,-123.490433,86.116425,4.331247,11.740489,35.252033,49.460453,29.567797,7.488880,32.849495,40.162560,33.288063,28.943911
45,0,-82.314095,152.847961,0.450486,-30.015602,78.202530,55.139088,-123.520172,86.009079,4.353449,11.736877,35.239372,49.471500,29.552891,7.492873,32.828926,40.174084,33.287422,28.950434
46,0,-82.323074,152.820633,0.471826,-30.016123,78.182236,55.126209,-123.516846,86.001183,4.317913,11.706000,35.248623,49.447002,29.567209,7.476956,32.844936,40.138668,33.310265,28.943653
47,0,-82.314606,152.793823,0.457044,-30.017548,78.192810,55.117104,-123.589020,86.027618,4.277556,11.700579,35.232826,49.458569,29.538839,7.483571,32.834194,40.157822,33.278790,28.955288
48,0,-82.395462,152.812302,0.396284,-30.113844,78.197182,55.106556,-123.591415,86.036873,4.275598,11.648716,35.223701,49.444271,29.531391,7.494189,32.834473,40.113445,33.288097,28.923649
49,0,-82.362038,152.791687,0.406144,-30.128119,78.187431,55.101109,-123.589981,86.031281,4.276791,11.646238,35.190670,49.443481,29.506817,7.449182,32.822201,40.081409,33.296768,28.942316
50,0,-82.391563,152.778458,0.435075,-30.129236,78.187241,55.099873,-123.557144,86.095192,4.217695,11.642945,35.181225,49.453606,29.486132,7.441203,32.827641,40.111275,33.266582,28.955635
51,0,-82.357544,152.785416,0.393702,-30.129559,78.188339,55.097794,-123.558342,86.091095,4.219285,11.629240,35.206081,49.446781,29.511297,7.451644,32.833454,40.086819,33.275726,28.948029
52,0,-82.357971,152.785812,0.392622,-30.129644,78.197571,55.086918,-123.569321,86.092789,4.221438,11.652354,35.220798,49.447105,29.475159,7.453697,32.817188,40.106697,33.283157,28.950394
53,0,-82.358070,152.785019,0.392873,-30.111574,78.175644,55.107212,-123.600456,86.214714,4.194025,11.647662,35.225334,49.442436,29.471052,7.478498,32.813198,40.115322,33.280724,28.946665
54,0,-82.357338,152.785370,0.392391,-30.111692,78.187965,55.100708,-123.624771,86.157669,4.249205,11.651999,35.221336,49.448414,29.495676,7.464159,32.810410,40.114063,33.283588,28.936354
55,0,-82.327919,152.785187,0.394080,-30.079433,78.173576,55.105686,-123.623367,86.156258,4.249374,11.673513,35.227146,49.441803,29.496628,7.483560,32.795868,40.116539,33.280773,28.949820
56,0,-82.315819,152.808655,0.397325,-30.068821,78.191154,55.108921,-123.574059,86.171753,4.241935,11.690250,35.243271,49.440453,29.525963,7.461174,32.823406,40.141136,33.296005,28.938570
57,0,-82.308121,152.811752,0.410177,-30.016491,78.192116,55.124355,-123.574059,86.171753,4.241935,11.718148,35.265087,49.431881,29.570580,7.453890,32.841175,40.155872,33.292747,28.946184
58,0,-82.308281,152.810822,0.410576,-30.016066,78.192535,55.124649,-123.576218,86.172760,4.242094,11.720978,35.244305,49.445824,29.617168,7.443994,32.859749,40.154900,33.304272,28.945969
59,0,-82.290916,152.826416,0.400832,-29.994743,78.213257,55.100082,-123.493362,86.192780,4.198921,11.732184,35.243725,49.475990,29.577042,7.464286,32.825077,40.223316,33.276943,28.953316
60,0,-82.247719,152.833389,0.367986,-29.994989,78.212601,55.102779,-123.494637,86.188652,4.200401,11.755284,35.249046,49.449520,29.587648,7.456333,32.836124,40.208210,33.274536,28.946007
61,0,-82.263268,152.870621,0.401843,-29.994810,78.214943,55.102913,-123.453148,86.204605,4.194039,11.763474,35.237183,49.465473,29.599564,7.448166,32.849674,40.205696,33.286224,28.939398
62,0,-82.225319,152.834610,0.384558,-30.007490,78.226471,55.072037,-123.450592,86.205345,4.193127,11.743021,35.245785,49.466713,29.569374,7.447269,32.839020,40.210548,33.280201,28.948910
63,0,-82.234337,152.830154,0.370630,-30.000330,78.228676,55.081852,-123.493942,86.188919,4.200151,11.720384,35.244652,49.446697,29.586584,7.463842,32.836372,40.195469,33.278900,28.944630
64,0,-82.221169,152.823975,0.347550,-30.007221,78.229095,55.068573,-123.497383,86.189812,4.200730,11.727401,35.262112,49.443020,29.571999,7.456805,32.823406,40.207024,33.292343,28.932255
