Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
56,0,140.129440,-80.206177,6.530158,39.247437,-21.399967,57.298115,89.280678,-130.889664,9.273991,-7.181224,22.964277,53.909416,-32.306061,47.818104,36.570190,,,
57,0,140.110565,-80.177795,6.519967,39.251175,-21.393097,57.284084,89.305534,-130.852768,9.285194,-7.176717,22.966549,53.912724,-32.311401,47.864677,36.604164,,,
58,0,140.136017,-80.202866,6.549603,39.237518,-21.398075,57.273125,89.284775,-130.840302,9.241091,-7.185199,22.959915,53.913036,-32.302265,47.836220,36.590393,,,
59,0,140.148468,-80.187706,6.486528,39.234623,-21.405752,57.269413,89.291748,-130.856125,9.257690,-7.163187,22.945305,53.892506,-32.313366,47.824875,36.584595,,,
60,0,140.131256,-80.162392,6.489026,39.237286,-21.395231,57.272739,89.412239,-130.850113,9.224037,-7.179516,22.931435,53.890972,-32.286495,47.838577,36.572800,,,
61,0,140.145691,-80.182243,6.477648,39.265888,-21.438349,57.270412,89.393486,-130.880997,9.218634,-7.171244,22.910231,53.902870,-32.292797,47.821201,36.579338,,,
62,0,140.146210,-80.181404,6.478179,39.251297,-21.421423,57.267673,89.313942,-130.824600,9.256041,-7.174598,22.913000,53.908924,-32.298439,47.841419,36.599293,,,
63,0,140.076111,-80.205757,6.473183,39.256134,-21.426426,57.283329,89.308022,-130.845856,9.251733,-7.160273,22.923571,53.920841,-32.299671,47.871387,36.570053,,,
64,0,140.078461,-80.232361,6.475019,39.251404,-21.434454,57.287418,89.387192,-130.864105,9.203166,-7.173299,22.934162,53.895264,-32.322956,47.856934,36.569572,,,
65,0,140.081161,-80.235497,6.481101,39.251366,-21.427233,57.281433,89.345337,-130.855911,9.207843,-7.175533,22.937983,53.900448,-32.320774,47.854706,36.550598,,,
66,0,140.041641,-80.240578,6.485182,39.260277,-21.446476,57.287174,89.325134,-130.850586,9.182465,-7.185102,22.929033,53.917488,-32.304085,47.855442,36.574753,,,
